hour, name, id, CanonEqualityRank, CanonNeedsRank, CanonProductivityRank, CanonSocialUtilityRank, CanonSupplyAndDemandRank
9, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,0 ,0 ,0 ,0 ,0
9, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,0 ,0 ,0 ,0 ,0
9, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,0 ,0 ,0 ,0 ,0
10, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,0 ,0 ,0 ,0 ,0
10, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,0 ,0 ,0 ,0 ,0
10, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,0 ,0 ,0 ,0 ,0
10, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,0 ,0 ,0 ,0 ,0
10, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,0 ,0 ,0 ,0 ,0
11, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,0 ,0 ,0 ,0 ,0
11, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,0 ,0 ,0 ,0 ,0
11, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,0 ,0 ,0 ,0 ,0
11, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,0 ,0 ,0 ,0 ,0
11, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,0 ,0 ,0 ,0 ,0
12, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,0 ,0 ,0 ,0 ,0
12, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,0 ,0 ,0 ,0 ,0
12, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,0 ,0 ,0 ,0 ,0
12, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,0 ,0 ,0 ,0 ,0
12, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,0 ,0 ,0 ,0 ,0
13, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,0 ,0 ,0 ,0 ,0
13, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,0 ,0 ,0 ,0 ,0
13, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,0 ,0 ,0 ,0 ,0
13, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,0 ,0 ,0 ,0 ,0
13, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,0 ,0 ,0 ,0 ,0
14, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,1 ,1 ,2 ,5 ,3
14, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,4 ,1 ,1 ,3 ,3
14, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,2 ,1 ,5 ,1 ,1
14, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,4 ,1 ,1
14, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,3 ,1 ,3 ,3 ,3
15, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,4 ,1 ,2 ,4 ,3
15, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,3 ,1 ,5 ,2 ,1
15, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,4 ,1 ,1
15, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,2 ,1 ,3 ,2 ,3
15, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,1 ,1 ,1 ,5 ,3
16, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,2 ,1 ,2 ,4 ,3
16, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,4 ,1 ,5 ,1 ,1
16, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,4 ,2 ,1
16, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,3 ,1 ,3 ,3 ,3
16, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,1 ,1 ,1 ,5 ,3
17, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,4 ,1 ,5 ,3 ,1
17, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,1 ,1 ,1 ,4 ,3
17, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,2 ,1 ,1 ,5 ,3
17, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,4 ,1 ,1
17, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,3 ,1 ,3 ,1 ,3
18, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,4 ,1 ,2 ,4 ,3
18, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,2 ,1 ,5 ,3 ,1
18, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,4 ,2 ,1
18, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,1 ,1 ,1 ,5 ,3
18, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,3 ,1 ,3 ,1 ,3
19, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,3 ,1 ,4 ,2 ,1
19, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,2 ,1 ,1 ,5 ,3
19, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,5 ,3 ,1
19, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,4 ,1 ,3 ,1 ,3
19, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,1 ,1 ,1 ,4 ,3
20, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,5 ,1 ,3 ,1 ,3
20, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,1 ,1 ,2 ,4 ,3
20, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,3 ,1 ,4 ,1 ,1
20, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,2 ,1 ,1 ,5 ,3
20, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,4 ,1 ,4 ,3 ,1
21, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,4 ,1 ,1
21, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,1 ,1 ,1 ,5 ,3
21, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,2 ,1 ,2 ,3 ,3
21, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,4 ,1 ,4 ,1 ,1
21, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,3 ,1 ,3 ,3 ,3
22, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,4 ,1 ,5 ,1 ,1
22, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,5 ,1 ,4 ,2 ,1
22, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,2 ,1 ,1 ,5 ,3
22, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,1 ,1 ,2 ,4 ,3
22, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,3 ,1 ,2 ,2 ,3
23, parent0agent2 ,c1966859-1e9d-4e9a-bb4b-9f75633a19a2 ,0 ,0 ,0 ,0 ,0
23, parent0agent1 ,e8fa155e-1052-4ee1-b6af-de8f7cea17b1 ,0 ,0 ,0 ,0 ,0
23, parent0agent4 ,792eb4fa-81e1-448e-b967-d7758372ef14 ,0 ,0 ,0 ,0 ,0
23, parent0agent0 ,a1637457-b460-43c4-a199-3bde8afe92de ,0 ,0 ,0 ,0 ,0
23, parent0agent3 ,28f3cf7a-783a-4be3-b2cf-4831ae3a5a5a ,0 ,0 ,0 ,0 ,0
